Date,Volume_RTH,Volume_VCR,Volume_XLY,Volume_XRT,Close_RTH,Close_VCR,Close_XLY,Close_XRT
1998-12-01,0.0,0.0,91100,0.0,,,19.25512777056013,
1999-01-01,0.0,0.0,264300,0.0,,,19.78381839551424,
1999-02-01,0.0,0.0,206000,0.0,,,20.167211632979544,
1999-03-01,0.0,0.0,278400,0.0,,,21.20880359152089,
1999-04-01,0.0,0.0,578300,0.0,,,22.091685885474796,
1999-05-01,0.0,0.0,513400,0.0,,,21.58973979949951,
1999-06-01,0.0,0.0,143400,0.0,,,21.184788703918457,
1999-07-01,0.0,0.0,370400,0.0,,,21.780900137765066,
1999-08-01,0.0,0.0,362200,0.0,,,20.05619985407049,
1999-09-01,0.0,0.0,243900,0.0,,,19.555965060279483,
1999-10-01,0.0,0.0,374000,0.0,,,20.286041532244003,
1999-11-01,0.0,0.0,160800,0.0,,,21.113337653023855,
1999-12-01,0.0,0.0,4812600,0.0,,,22.07930512861772,
2000-01-01,0.0,0.0,1766000,0.0,,,21.772391414642335,
2000-02-01,0.0,0.0,1417100,0.0,,,19.776389408111573,
2000-03-01,0.0,0.0,4701800,0.0,,,20.113700700842816,
2000-04-01,0.0,0.0,790000,0.0,,,22.178500024895918,
2000-05-01,0.0,0.0,694900,0.0,,,20.903748425570402,
2000-06-01,0.0,0.0,1325900,0.0,,,19.535532344471324,
2000-07-01,0.0,0.0,1215500,0.0,,,20.52643699645996,
2000-08-01,0.0,0.0,506100,0.0,,,19.60467172705609,
2000-09-01,0.0,0.0,17420200,0.0,,,19.329890537261964,
2000-10-01,0.0,0.0,3726800,0.0,,,17.604342113841664,
2000-11-01,0.0,0.0,713900,0.0,,,18.13367443992978,
2000-12-01,0.0,0.0,1016600,0.0,,,18.52474002838135,
2001-01-01,0.0,0.0,10307700,0.0,,,20.330145517985027,
2001-02-01,0.0,0.0,6339300,0.0,,,20.56673200506913,
2001-03-01,0.0,0.0,3056900,0.0,,,19.695334694602273,
2001-04-01,0.0,0.0,1889000,0.0,,,19.862563800811767,
2001-05-01,609000.0,0.0,2692600,0.0,23.87921485900879,,21.131445017727938,
2001-06-01,640800.0,0.0,925900,0.0,23.270063763573056,,20.891109920683363,
2001-07-01,775500.0,0.0,1327000,0.0,22.683521179925826,,21.34579613095238,
