Date,Close,Volume
2000-08-01,276.09999084472656,0
2000-09-01,273.38999633789064,4291
2000-10-01,269.8090903542259,321
2000-11-01,265.8749969482422,32465
2000-12-01,271.51500549316404,1664
2001-01-01,265.37142653692337,17811
2001-02-01,261.80526251541943,1066
2001-03-01,262.29090742631394,31161
2001-04-01,261.07999725341796,1733
2001-05-01,272.0772718949751,32850
2001-06-01,270.7142857142857,1350
2001-07-01,267.52381097702755,20322
2001-08-01,272.89565111243206,1817
2001-09-01,284.9625015258789,3137
2001-10-01,283.3782600734545,893
2001-11-01,276.10999908447263,27949
2001-12-01,276.00526508532073,2157
2002-01-01,281.74761672247024,28613
2002-02-01,296.21579300729854,3964
2002-03-01,294.37500152587893,29465
2002-04-01,303.5000013871626,2226
2002-05-01,314.6272735595703,29743
2002-06-01,321.13000335693357,5817
2002-07-01,313.2809549967448,28530
2002-08-01,310.14999944513494,3256
2002-09-01,319.5949996948242,4400
2002-10-01,316.269567074983,3849
2002-11-01,319.11579011615953,54551
2002-12-01,334.9380943661644,4453
2003-01-01,358.1904776436942,8298
2003-02-01,358.53684114155016,6928
2003-03-01,339.92381068638394,6100
2003-04-01,329.2857142857143,3097
2003-05-01,355.92857142857144,164025
2003-06-01,356.4857148670015,10422
2003-07-01,351.1181848699396,86330
2003-08-01,360.57619222005206,5743
2003-09-01,379.36666724795384,16207
2003-10-01,378.9304371709409,3594
2003-11-01,389.8888888888889,165003
2003-12-01,408.8000023251488,10267
2004-01-01,414.72631675318667,132663
2004-02-01,403.9526302939967,5931
2004-03-01,407.4695646866508,105746
2004-04-01,403.95714169456846,6579
2004-05-01,383.7699951171875,144835
2004-06-01,392.1857154482887,6207
2004-07-01,398.35238066173736,116575
2004-08-01,401.8909065940163,6340
2004-09-01,406.2333330426897,16144
2004-10-01,421.02381097702755,2646
2004-11-01,438.6549987792969,183608
2004-12-01,442.7142828078497,12728
2005-01-01,424.15,115342
2005-02-01,424.01052535207646,8468
2005-03-01,434.8952389671689,3171
2005-04-01,429.63499755859374,2579
2005-05-01,422.2952386765253,131509
2005-06-01,431.4238092331659,6950
2005-07-01,423.9699996948242,44574
2005-08-01,437.83043504797894,3085
2005-09-01,457.30476452055433,11805
2005-10-01,469.99524071103053,2106
2005-11-01,475.5599990844727,157642
2005-12-01,509.55238124302457,12240
2006-01-01,550.9700012207031,121984
2006-02-01,555.2105327405428,10165
2006-03-01,558.100002122962,94801
2006-04-01,612.0631585372122,8121
2006-05-01,673.6409135298295,137161
2006-06-01,595.5181801535866,6197
2006-07-01,634.394730417352,99344
2006-08-01,630.0652200450068,4608
